title,price,availability,rating,category,image_url
Como Ser Organizado Amanhã,R$67.63,In stock,One,Humor,https://books.toscrape.com/media/cache/placeholder_0.jpg
Guia Prático do Procrastinador,R$14.18,In stock,Two,Ficção,https://books.toscrape.com/media/cache/placeholder_1.jpg
Receitas que Queimam a Panela,R$35.93,In stock,Three,Crônicas,https://books.toscrape.com/media/cache/placeholder_2.jpg
Finanças para Quem Odeia Matemática,R$31.42,In stock,Four,Autoajuda,https://books.toscrape.com/media/cache/placeholder_3.jpg
Manual do Detetive de Sofá,R$76.07,In stock,Five,Negócios,https://books.toscrape.com/media/cache/placeholder_4.jpg
A Arte de Não Responder WhatsApp,R$70.87,In stock,One,Tecnologia,https://books.toscrape.com/media/cache/placeholder_5.jpg
Cronicas do Bairro que Sempre Chove,R$89.62,In stock,Two,Educação,https://books.toscrape.com/media/cache/placeholder_6.jpg
Romance com Frete Grátis,R$19.56,In stock,Three,Ciência,https://books.toscrape.com/media/cache/placeholder_7.jpg
O Segredo do Bolo que Nunca Cresce,R$48.71,In stock,Four,História,https://books.toscrape.com/media/cache/placeholder_8.jpg
Marketing para Introspectivos,R$14.59,In stock,Five,Biografia,https://books.toscrape.com/media/cache/placeholder_9.jpg
Tecnologia para Quem Aperta Qualquer Botão,R$31.02,In stock,One,Poesia,https://books.toscrape.com/media/cache/placeholder_0.jpg
História do País que Atrasou,R$55.97,In stock,Two,Fantasia,https://books.toscrape.com/media/cache/placeholder_1.jpg
Biografia de Alguém Quase Famoso,R$14.31,In stock,Three,Suspense,https://books.toscrape.com/media/cache/placeholder_2.jpg
Poesia para Quem Só Rima Com Amor,R$29.30,In stock,Four,Romance,https://books.toscrape.com/media/cache/placeholder_3.jpg
Fantasia do Dragão que Faz Dieta,R$68.54,In stock,Five,Jovem Adulto,https://books.toscrape.com/media/cache/placeholder_4.jpg
Suspense do Elevador que Para no 13,R$59.41,In stock,One,Gastronomia,https://books.toscrape.com/media/cache/placeholder_5.jpg
Romance no Onibus Lotado,R$31.18,In stock,Two,Viagem,https://books.toscrape.com/media/cache/placeholder_6.jpg
Jovem Adulto que Não Adultou,R$63.27,In stock,Three,Esportes,https://books.toscrape.com/media/cache/placeholder_7.jpg
Gastronomia do Miojo Gourmet,R$82.42,In stock,Four,Saúde,https://books.toscrape.com/media/cache/placeholder_8.jpg
Viagem ao Bairro ao Lado,R$12.57,In stock,Five,Política,https://books.toscrape.com/media/cache/placeholder_9.jpg
Esportes para Sedentários Criativos,R$82.11,In stock,One,Humor,https://books.toscrape.com/media/cache/placeholder_0.jpg
Saúde com Soneca de 20 Minutos,R$72.74,In stock,Two,Ficção,https://books.toscrape.com/media/cache/placeholder_1.jpg
Política para Sobreviventes,R$41.60,In stock,Three,Crônicas,https://books.toscrape.com/media/cache/placeholder_2.jpg
Como Não Ganhar a Loteria,R$25.53,In stock,Four,Autoajuda,https://books.toscrape.com/media/cache/placeholder_3.jpg
Guia de Reuniões que Podiam Ser Email,R$95.28,In stock,Five,Negócios,https://books.toscrape.com/media/cache/placeholder_4.jpg
Café Torrado e Queimado,R$41.28,In stock,One,Tecnologia,https://books.toscrape.com/media/cache/placeholder_5.jpg
Meditação para Ansiosos Impacientes,R$20.07,In stock,Two,Educação,https://books.toscrape.com/media/cache/placeholder_6.jpg
Manual da Gambiarra Elegante,R$20.41,In stock,Three,Ciência,https://books.toscrape.com/media/cache/placeholder_7.jpg
Curso Rápido de Conversa Fiada,R$85.73,In stock,Four,História,https://books.toscrape.com/media/cache/placeholder_8.jpg
Planejamento para Ontem,R$64.52,In stock,Five,Biografia,https://books.toscrape.com/media/cache/placeholder_9.jpg
Como Esquecer o Ex Sem Apagar as Fotos,R$82.22,In stock,One,Poesia,https://books.toscrape.com/media/cache/placeholder_0.jpg
O Poder da Soneca Estratégica,R$75.49,In stock,Two,Fantasia,https://books.toscrape.com/media/cache/placeholder_1.jpg
Crônicas do Vizinho Barulhento,R$58.65,In stock,Three,Suspense,https://books.toscrape.com/media/cache/placeholder_2.jpg
Receitas em 5 Passos e 10 Panelas,R$96.66,In stock,Four,Romance,https://books.toscrape.com/media/cache/placeholder_3.jpg
Guia de Oratória para Quem Gagueja,R$44.93,In stock,Five,Jovem Adulto,https://books.toscrape.com/media/cache/placeholder_4.jpg
Física Quântica para Curiosos Sonolentos,R$60.03,In stock,One,Gastronomia,https://books.toscrape.com/media/cache/placeholder_5.jpg
História dos Boletos Vencidos,R$84.16,In stock,Two,Viagem,https://books.toscrape.com/media/cache/placeholder_6.jpg
Biografia do Estagiário Herói,R$65.81,In stock,Three,Esportes,https://books.toscrape.com/media/cache/placeholder_7.jpg
Poesia de Segunda Feira,R$86.97,In stock,Four,Saúde,https://books.toscrape.com/media/cache/placeholder_8.jpg
Fantasia Interurbana,R$62.23,In stock,Five,Política,https://books.toscrape.com/media/cache/placeholder_9.jpg
Suspense do WiFi Instável,R$73.30,In stock,One,Humor,https://books.toscrape.com/media/cache/placeholder_0.jpg
Romance com Plot Twist do Pix,R$15.99,In stock,Two,Ficção,https://books.toscrape.com/media/cache/placeholder_1.jpg
Jovem Adulto com Pressa,R$31.83,In stock,Three,Crônicas,https://books.toscrape.com/media/cache/placeholder_2.jpg
Gastronomia da Airfryer Misteriosa,R$37.18,In stock,Four,Autoajuda,https://books.toscrape.com/media/cache/placeholder_3.jpg
Viagem Sem Sair do Sofá,R$18.94,In stock,Five,Negócios,https://books.toscrape.com/media/cache/placeholder_4.jpg
Esportes de Controle Remoto,R$32.25,In stock,One,Tecnologia,https://books.toscrape.com/media/cache/placeholder_5.jpg
Saúde com Salada de Pizza,R$20.79,In stock,Two,Educação,https://books.toscrape.com/media/cache/placeholder_6.jpg
Política do Grupo da Família,R$36.18,In stock,Three,Ciência,https://books.toscrape.com/media/cache/placeholder_7.jpg
Como Domar a Caixa de Entrada,R$67.30,In stock,Four,História,https://books.toscrape.com/media/cache/placeholder_8.jpg
Guia do Não Tenho Tempo,R$43.74,In stock,Five,Biografia,https://books.toscrape.com/media/cache/placeholder_9.jpg
Culinária de Microondas Profissional,R$44.21,In stock,One,Poesia,https://books.toscrape.com/media/cache/placeholder_0.jpg
Mindfulness na Fila do Banco,R$30.23,In stock,Two,Fantasia,https://books.toscrape.com/media/cache/placeholder_1.jpg
Programação para Quem Copia e Cola,R$35.23,In stock,Three,Suspense,https://books.toscrape.com/media/cache/placeholder_2.jpg
Como Passar no Concurso Sem Estudar,R$93.49,In stock,Four,Romance,https://books.toscrape.com/media/cache/placeholder_3.jpg
Crônicas do Gato Dramático,R$68.38,In stock,Five,Jovem Adulto,https://books.toscrape.com/media/cache/placeholder_4.jpg
Receitas que Funcionam na Segunda Tentativa,R$64.99,In stock,One,Gastronomia,https://books.toscrape.com/media/cache/placeholder_5.jpg
Marketing do Post Que Viraliza Nunca,R$26.89,In stock,Two,Viagem,https://books.toscrape.com/media/cache/placeholder_6.jpg
História da Dieta de Segunda,R$75.43,In stock,Three,Esportes,https://books.toscrape.com/media/cache/placeholder_7.jpg
Biografia do Chef Amador,R$26.22,In stock,Four,Saúde,https://books.toscrape.com/media/cache/placeholder_8.jpg
Poesia do Trânsito,R$45.01,In stock,Five,Política,https://books.toscrape.com/media/cache/placeholder_9.jpg
Fantasia com Dragões de Condomínio,R$98.09,In stock,One,Humor,https://books.toscrape.com/media/cache/placeholder_0.jpg
Suspense do Mensageiro Visualizado,R$67.68,In stock,Two,Ficção,https://books.toscrape.com/media/cache/placeholder_1.jpg
Romance de 15 Segundos,R$60.45,In stock,Three,Crônicas,https://books.toscrape.com/media/cache/placeholder_2.jpg
Jovem Adulto em Crise de 30,R$71.56,In stock,Four,Autoajuda,https://books.toscrape.com/media/cache/placeholder_3.jpg
Gastronomia com 3 Ingredientes e 5 Entregas,R$85.33,In stock,Five,Negócios,https://books.toscrape.com/media/cache/placeholder_4.jpg
Viagem ao Interior do App,R$79.51,In stock,One,Tecnologia,https://books.toscrape.com/media/cache/placeholder_5.jpg
Esportes da Cadeira Giratória,R$31.93,In stock,Two,Educação,https://books.toscrape.com/media/cache/placeholder_6.jpg
Saúde do Sono com Café,R$14.79,In stock,Three,Ciência,https://books.toscrape.com/media/cache/placeholder_7.jpg
Política do Like e Compartilhe,R$39.44,In stock,Four,História,https://books.toscrape.com/media/cache/placeholder_8.jpg
Como Falar Não Sem Culpa,R$35.29,In stock,Five,Biografia,https://books.toscrape.com/media/cache/placeholder_9.jpg
Guia do Home Office de Pijama,R$30.36,In stock,One,Poesia,https://books.toscrape.com/media/cache/placeholder_0.jpg
Culinária Minimalista Caótica,R$94.03,In stock,Two,Fantasia,https://books.toscrape.com/media/cache/placeholder_1.jpg
Meditação para Quem Não Para,R$88.24,In stock,Three,Suspense,https://books.toscrape.com/media/cache/placeholder_2.jpg
Planilhas com Estilo,R$39.38,In stock,Four,Romance,https://books.toscrape.com/media/cache/placeholder_3.jpg
Manual do Elevator Pitch Travadinho,R$69.02,In stock,Five,Jovem Adulto,https://books.toscrape.com/media/cache/placeholder_4.jpg
Crônicas do Cartão Sem Limite,R$46.42,In stock,One,Gastronomia,https://books.toscrape.com/media/cache/placeholder_5.jpg
Receitas de Sobremesa Sem Sobremesa,R$91.57,In stock,Two,Viagem,https://books.toscrape.com/media/cache/placeholder_6.jpg
Marketing para Tímidos Brilhantes,R$51.92,In stock,Three,Esportes,https://books.toscrape.com/media/cache/placeholder_7.jpg
História dos Porquês,R$35.04,In stock,Four,Saúde,https://books.toscrape.com/media/cache/placeholder_8.jpg
Biografia do Quase Influencer,R$33.46,In stock,Five,Política,https://books.toscrape.com/media/cache/placeholder_9.jpg
Poesia do Copo Meio Cheio,R$60.84,In stock,One,Humor,https://books.toscrape.com/media/cache/placeholder_0.jpg
Fantasia da Varinha USB,R$34.86,In stock,Two,Ficção,https://books.toscrape.com/media/cache/placeholder_1.jpg
Suspense da Senha Esquecida,R$62.86,In stock,Three,Crônicas,https://books.toscrape.com/media/cache/placeholder_2.jpg
Romance com Spoiler,R$90.11,In stock,Four,Autoajuda,https://books.toscrape.com/media/cache/placeholder_3.jpg
Jovem Adulto com Planta de Estimação,R$46.75,In stock,Five,Negócios,https://books.toscrape.com/media/cache/placeholder_4.jpg
Gastronomia do Almoço de Marmita,R$31.08,In stock,One,Tecnologia,https://books.toscrape.com/media/cache/placeholder_5.jpg
Viagem com Milhas Imaginárias,R$98.79,In stock,Two,Educação,https://books.toscrape.com/media/cache/placeholder_6.jpg
Esportes de Dedão,R$56.33,In stock,Three,Ciência,https://books.toscrape.com/media/cache/placeholder_7.jpg
Saúde Mental para Quem Não Desliga,R$19.91,In stock,Four,História,https://books.toscrape.com/media/cache/placeholder_8.jpg
Política do Silenciar Grupo,R$16.10,In stock,Five,Biografia,https://books.toscrape.com/media/cache/placeholder_9.jpg
Como Ler Livros que Você Não Comprou,R$21.54,In stock,One,Poesia,https://books.toscrape.com/media/cache/placeholder_0.jpg
Guia do Minimalismo com 100 Itens,R$66.59,In stock,Two,Fantasia,https://books.toscrape.com/media/cache/placeholder_1.jpg
Culinária com Restos Nobres,R$80.91,In stock,Three,Suspense,https://books.toscrape.com/media/cache/placeholder_2.jpg
Mindfulness para Multitarefas,R$48.73,In stock,Four,Romance,https://books.toscrape.com/media/cache/placeholder_3.jpg
Programação sem Stack Overflow,R$17.53,In stock,Five,Jovem Adulto,https://books.toscrape.com/media/cache/placeholder_4.jpg
Como Vencer o Sono às 14h,R$45.20,In stock,One,Gastronomia,https://books.toscrape.com/media/cache/placeholder_5.jpg
Crônicas do Porteiro Sincero,R$98.66,In stock,Two,Viagem,https://books.toscrape.com/media/cache/placeholder_6.jpg
Receitas de Festa no Copo,R$58.03,In stock,Three,Esportes,https://books.toscrape.com/media/cache/placeholder_7.jpg
Marketing do Meme Perfeito,R$96.48,In stock,Four,Saúde,https://books.toscrape.com/media/cache/placeholder_8.jpg
História do Alarme Soneca,R$86.89,In stock,Five,Política,https://books.toscrape.com/media/cache/placeholder_9.jpg
